,title,content
71,Ivanka Trump and Charles Koch Fuel a Cancel-Culture Clash at Wichita State,The political pressure that wealthy donors exert on universities rarely gets aired so publicly.
72,Minnesota’s Decades-Long Failure to Confront Police Abuse,Charges of systemic racism have been dismissed in a state now grappling with the aftermath of George Floyd’s murder.
73,Georgia Betrays Its Voters Again,"In predominantly black, working-class neighborhoods, people trying to cast their ballots accused the state of continued voter suppression."
74,The Secret Project That Led to Black Lives Matter Murals Coast to Coast,How a team of eight artists and a band of ad-hoc volunteers joined to create a mural that has since landed on front pages across the world and been photographed from space.
75,"The N.F.L.’s Change of Tone, and the Limits of Merely Listening","It’s one thing for the N.F.L. to hear out its players, which can be done privately. But is it really going to start encouraging public speech?"
76,"Hunger, Infection, and Repression: Venezuela’s Coronavirus Calamity",How the Maduro regime and the Trump Administration are worsening the impact.
77,The Fragile Existence of Sex Workers During the Pandemic,They face not only a drop in employment but also discrimination and stigma as they search for relief.
78,A New Way to Listen to The New Yorker,"Narrated stories, along with podcasts and The New Yorker Radio Hour, are now available in the New Yorker Today app."
79,What African Nations Are Teaching the West About Fighting the Coronavirus,"From the beginning of the coronavirus pandemic, many countries in Africa pursued public-health measures more aggressively than the U.S. and Europe did."
80,How Much Testing Does the U.S. Need to Reopen?,Public-health experts believe that the country is not administering enough COVID-19 tests. There is far less consensus about what an adequate number might be.
81,The Joys of Korean Baseball and the Risks of Bringing Back Sports,What would it take to have sports return? Perhaps the Korean Baseball Organization does offer a good model—and a daunting one.
82,Cage-Fighting During a Pandemic: Is This the Future of Sports?,"On Saturday night, the U.F.C.’s voluble president finally did what he has been saying he would do: he put on the first major American athletic event since the country began its lockdown."
83,The U.S. Soccer Team Is Still Fighting for Equal Treatment,"If the players had a rival, it was not on the field; it was their own federation, U.S. Soccer, which for years had underpaid and undervalued them, the women believed."
84,The New Yorker’s Ben Taub and Barry Blitt Win Pulitzer Prizes,"Taub was recognized for a profile of a former prisoner at Guantánamo Bay, and Blitt won for several covers and an array of cartoons."
85,"A Surprisingly Poignant N.F.L. Draft, Live from Various Basements",The pleasure of this year’s socially distant draft lay in the chance to see human beings at home instead of humanoids on the sidelines.
86,Chicago Plans for a Slow Recovery from the Coronavirus,"The city’s opening, when it comes, will be gradual, and answers won’t come quickly, especially if the gaps in testing remain unfilled."
87,Why Psychiatric Wards Are Uniquely Vulnerable to the Coronavirus,"The prevention of solitude is built into the architecture of psych units, and enshrined in the laws and regulations that govern them."
88,“Some Days I Feel Like I’m Melting”: How Single Mothers in New York City Are Coping with Quarantine,"The COVID-19 crisis and its economic fallout are hurting all parents, but there is good reason to believe that the burdens are falling disproportionately on single mothers, many of whom were already struggling."
89,“The Last Dance” Shows a Michael Jordan You May Know and a Scottie Pippen You Probably Don’t,The new ten-part documentary from ESPN and Netflix offers unparalleled access to the unravelling of one of the greatest dynasties in sports history.
90,What It Means to Miss Marathon Day in Boston,One of the best races in the world has been postponed for the first time in its hundred-and-twenty-three-year history.
91,"Studying Fascist Propaganda by Day, Watching Trump’s Coronavirus Updates by Night",The Yale philosophy professor Jason Stanley sees parallels between history’s autocrats and the President’s actions in response to the pandemic.
92,How Spain’s Coronavirus-Infection Rate Became One of the World’s Highest,"On March 8th, tens of thousands of people in Spain gathered at events and protests en masse. The next day, the number of coronavirus cases in the country doubled."
93,"Turning a Tennis Stadium Into a Hospital, and Thinking About What Sports Can Do Now",Agreeing to house a field hospital was simple. The more difficult questions may actually come when the nets dividing the courts are put back up again.
94,The Federalist as “Medical Journal” in the Time of the Coronavirus,"The conservative online magazine, not known for its medical coverage, has published pseudoscientific takes on COVID-19 by writers not known for their epidemiological expertise."
95,The Purgatory of Parole Incarcerations During the Coronavirus Crisis,"New York’s strict parole practices have placed thousands of people in mortal peril in prison, where access to health care is limited and social distancing is impossible."
96,Preparing Prisons for Passover in a Plague Year,Rabbi Menachem Katz supplies prisoners across the U.S. with kosher meals. The coronavirus pandemic isn’t helping.
97,“A Disembodied Voice”: The Loneliness and Solidarity of Treating the Coronavirus in New York,Fighting the virus requires a dual duty: keeping apart and staying together.
98,Inequality Intensifies the Coronavirus Crisis in Detroit,"In the fight against COVID-19, the city’s doctors are on the front lines in two senses."
